SaleID,CustomerID,Product,Amount
101,1,Laptop,200
102,2,Smartphone,500
103,3,Tablet,800
104,4,Headphones,1100
105,5,Monitor,1400
106,6,Laptop,200
107,7,Smartphone,500
108,8,Tablet,800
109,9,Headphones,1100
110,10,Monitor,1400
111,11,Laptop,200
112,12,Smartphone,500
113,13,Tablet,800
114,14,Headphones,1100
115,15,Monitor,1400
116,16,Laptop,200
117,17,Smartphone,500
118,18,Tablet,800
119,19,Headphones,1100
120,20,Monitor,1400
121,21,Laptop,200
122,22,Smartphone,500
123,23,Tablet,800
124,24,Headphones,1100
125,25,Monitor,1400
126,26,Laptop,200
127,27,Smartphone,500
128,28,Tablet,800
129,29,Headphones,1100
130,30,Monitor,1400
131,31,Laptop,200
132,32,Smartphone,500
133,33,Tablet,800
134,34,Headphones,1100
135,35,Monitor,1400
136,36,Laptop,200
137,37,Smartphone,500
138,38,Tablet,800
139,39,Headphones,1100
140,40,Monitor,1400
141,41,Laptop,200
142,42,Smartphone,500
143,43,Tablet,800
144,44,Headphones,1100
145,45,Monitor,1400
146,46,Laptop,200
147,47,Smartphone,500
148,48,Tablet,800
149,49,Headphones,1100
150,50,Monitor,1400
151,51,Laptop,200
152,52,Smartphone,500
153,53,Tablet,800
154,54,Headphones,1100
155,55,Monitor,1400
156,56,Laptop,200
157,57,Smartphone,500
158,58,Tablet,800
159,59,Headphones,1100
160,60,Monitor,1400
161,61,Laptop,200
162,62,Smartphone,500
163,63,Tablet,800
164,64,Headphones,1100
165,65,Monitor,1400
166,66,Laptop,200
167,67,Smartphone,500
168,68,Tablet,800
169,69,Headphones,1100
170,70,Monitor,1400
171,71,Laptop,200
172,72,Smartphone,500
173,73,Tablet,800
174,74,Headphones,1100
175,75,Monitor,1400
176,76,Laptop,200
177,77,Smartphone,500
178,78,Tablet,800
179,79,Headphones,1100
180,80,Monitor,1400
181,81,Laptop,200
182,82,Smartphone,500
183,83,Tablet,800
184,84,Headphones,1100
185,85,Monitor,1400
186,86,Laptop,200
187,87,Smartphone,500
188,88,Tablet,800
189,89,Headphones,1100
190,90,Monitor,1400
191,91,Laptop,200
192,92,Smartphone,500
193,93,Tablet,800
194,94,Headphones,1100
195,95,Monitor,1400
